Description,Total Quantity Sold,Unique Invoices,Total Revenue
10 COLOUR SPACEBOY PEN,6017,247,5002.129999999999
11 PC CERAMIC TEA SET POLKADOT,3,1,14.850000000000001
12 ASS ZINC CHRISTMAS DECORATIONS,441,45,926.1000000000001
12 COLOURED PARTY BALLOONS,2117,121,1310.05
12 DAISY PEGS IN WOOD BOX,582,117,960.2999999999998
12 EGG HOUSE PAINTED WOOD,364,79,3751.4
12 IVORY ROSE PEG PLACE SETTINGS,1650,141,1973.58
12 MESSAGE CARDS WITH ENVELOPES,1415,169,2262.75
12 MINI TOADSTOOL PEGS,474,88,592.5
12 PENCIL SMALL TUBE WOODLAND,5248,251,3332.0000000000005
12 PENCILS SMALL TUBE POSY,519,64,337.35
12 PENCILS SMALL TUBE RED RETROSPOT,3614,177,2349.1000000000004
12 PENCILS SMALL TUBE RED SPOTTY,8003,304,5001.95
12 PENCILS SMALL TUBE SKULL,6227,412,3984.3500000000004
12 PENCILS TALL TUBE POSY,2052,61,737.16
12 PENCILS TALL TUBE RED RETROSPOT,1215,110,1032.75
12 PENCILS TALL TUBE RED SPOTTY,2241,210,1879.8899999999999
12 PENCILS TALL TUBE SKULLS,2659,283,2255.47
12 PENCILS TALL TUBE WOODLAND,2641,228,2169.97
12 PINK HEN+CHICKS IN BASKET,49,20,124.94999999999999
12 PINK ROSE PEG PLACE SETTINGS,1264,96,1491.08
12 RED ROSE PEG PLACE SETTINGS,770,110,953.38
15 PINK FLUFFY CHICKS IN BOX,20,13,59.0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,1320,233,9717.0
2 DAISIES HAIR COMB,12,2,35.400000000000006
2 PICTURE BOOK EGGS EASTER BUNNY,560,38,535.0
2 PICTURE BOOK EGGS EASTER CHICKS,557,32,531.25
2 PICTURE BOOK EGGS EASTER DUCKS,549,32,521.25
20 DOLLY PEGS RETROSPOT,3225,260,3774.63
200 BENDY SKULL STRAWS,602,57,684.1
200 RED + WHITE BENDY STRAWS,1232,186,1489.84
24 HANGING EASTER EGGS FLORAL TUB,655,99,2225.85
3 BIRDS CANVAS SCREEN,1,1,1.65
3 BLACK CATS W HEARTS BLANK CARD,55,6,10.450000000000001
3 GARDENIA MORRIS BOXED CANDLES,339,46,1343.07
3 HEARTS HANGING DECORATION RUSTIC,5544,419,15607.6
3 HOOK HANGER MAGIC GARDEN,1056,50,1853.9999999999998
3 HOOK PHOTO SHELF ANTIQUE WHITE,1332,249,9619.64
3 PIECE JIGSAW TOADSTOOLS,16,2,26.4
3 PIECE SPACEBOY COOKIE CUTTER SET,211,42,443.1
3 PINK HEN+CHICKS IN BASKET,87,7,97.35
3 ROSE MORRIS BOXED CANDLES,174,29,689.34
3 STRIPEY MICE FELTCRAFT,4844,449,8540.0
3 TIER CAKE TIN GREEN AND CREAM,123,55,1768.4499999999998
3 TIER CAKE TIN RED AND CREAM,203,88,2894.0499999999997
3 TIER SWEETHEART GARDEN SHELF,8,7,287.6
3 TRADITIONAL COOKIE CUTTERS  SET,204,8,392.4000000000001
3 TRADITIONAl BISCUIT CUTTERS  SET,302,24,598.2
3 WHITE CHOC MORRIS BOXED CANDLES,233,23,909.29
3 WICK CHRISTMAS BRIAR CANDLE,258,58,967.5
36 DOILIES DOLLY GIRL,1039,59,1391.35
36 DOILIES SPACEBOY DESIGN,706,52,994.9
36 DOILIES VINTAGE CHRISTMAS,2592,139,3585.6
36 FOIL HEART CAKE CASES,554,74,1112.4
36 FOIL STAR CAKE CASES,440,57,897.0000000000001
36 PENCILS TUBE POSY,145,29,181.25
